pr,"	Year", Month, Country, ISO3, ISO2
6.14734,1957,3,QAT,,
18.7535,1957,4,QAT,,
6.55299,1957,5,QAT,,
0.14983,1957,6,QAT,,
0.07058,1957,7,QAT,,
0.10187,1957,8,QAT,,
0,1957,9,QAT,,
0.04065,1957,10,QAT,,
4.6964,1957,11,QAT,,
24.6863,1957,12,QAT,,
36.1595,1958,1,QAT,,
16.0393,1958,2,QAT,,
3.94642,1958,3,QAT,,
1.85237,1958,4,QAT,,
0.41812,1958,5,QAT,,
0.17117,1958,6,QAT,,
2.52163,1958,7,QAT,,
0.10187,1958,8,QAT,,
0,1958,9,QAT,,
0.04065,1958,10,QAT,,
1.83893,1958,11,QAT,,
14.2593,1958,12,QAT,,
24.5614,1959,1,QAT,,
3.01,1959,2,QAT,,
14.7841,1959,3,QAT,,
2.70586,1959,4,QAT,,
3.63769,1959,5,QAT,,
0.14983,1959,6,QAT,,
0.06085,1959,7,QAT,,
0.10187,1959,8,QAT,,
0,1959,9,QAT,,
0.04065,1959,10,QAT,,
9.41584,1959,11,QAT,,
1.51079,1959,12,QAT,,
2.69096,1960,1,QAT,,
2.67398,1960,2,QAT,,
7.5074,1960,3,QAT,,
5.5434,1960,4,QAT,,
0.525,1960,5,QAT,,
0.14983,1960,6,QAT,,
0.07058,1960,7,QAT,,
0.10187,1960,8,QAT,,
0,1960,9,QAT,,
0.04065,1960,10,QAT,,
0.76762,1960,11,QAT,,
2.80435,1960,12,QAT,,
6.46519,1961,1,QAT,,
16.8472,1961,2,QAT,,
14.2482,1961,3,QAT,,
20.2395,1961,4,QAT,,
0.525,1961,5,QAT,,
0.14983,1961,6,QAT,,
0.07374,1961,7,QAT,,
0.10187,1961,8,QAT,,
0,1961,9,QAT,,
0.04065,1961,10,QAT,,
6.97667,1961,11,QAT,,
4.96328,1961,12,QAT,,
0.33539,1962,1,QAT,,
0.67297,1962,2,QAT,,
0.6859,1962,3,QAT,,
5.70015,1962,4,QAT,,
0.09586,1962,5,QAT,,
0.14983,1962,6,QAT,,
0.07058,1962,7,QAT,,
0.10187,1962,8,QAT,,
0,1962,9,QAT,,
0.00316,1962,10,QAT,,
1.47305,1962,11,QAT,,
0.44343,1962,12,QAT,,
1.02716,1963,1,QAT,,
0.65637,1963,2,QAT,,
0.40278,1963,3,QAT,,
5.26686,1963,4,QAT,,
13.4592,1963,5,QAT,,
0.14983,1963,6,QAT,,
0.07058,1963,7,QAT,,
0.10187,1963,8,QAT,,
