,year,country_code,reported_cases,region_x,reported_deaths,region_y,population,tx_resistance,tx_resistance_int,number_nets,point_prevalence
267,2013,KOR,383.0,WPR,2.0,WPR,50428893.0,Not tested/reported,0.0,0.0,7.5948524192272075e-06
268,2004,AZE,386.0,EUR,0.0,EUR,8306500.0,Not tested/reported,0.0,0.0,4.6469632215734664e-05
269,2002,GEO,474.0,EUR,0.0,EUR,4357000.0,,0.0,0.0,0.000108790452145972
270,2013,IRN,479.0,EMR,2.0,EMR,77435384.0,Not tested/reported,0.0,0.0,6.18580260414283e-06
271,2009,NIC,610.0,AMR,0.0,AMR,5666581.0,Not tested/reported,0.0,0.0,0.000107648686218374
272,2007,TJK,635.0,EUR,0.0,EUR,7152385.0,Not tested/reported,0.0,0.0,8.878157425809712e-05
273,2007,TJK,635.0,EUR,0.0,EUR,7152385.0,No,0.0,0.0,8.878157425809712e-05
274,2008,NIC,762.0,AMR,0.0,AMR,5594506.0,Not tested/reported,0.0,0.0,0.00013620505545976712
275,2006,TUR,767.0,EUR,0.0,EUR,68763405.0,Not tested/reported,0.0,0.0,1.1154188772356459e-05
276,2001,RUS,898.0,EUR,3.0,EUR,145976083.0,,0.0,0.0,6.151692671463174e-06
277,2009,KOR,898.0,WPR,1.0,WPR,49307835.0,Not tested/reported,0.0,0.0,1.8212115782410644e-05
278,2001,PAN,928.0,AMR,1.0,AMR,3089684.0,Not tested/reported,0.0,0.0,0.0003003543404438771
279,2010,BWA,1046.0,AFR,8.0,AFR,2014866.0,Not tested/reported,0.0,0.0,0.0005191412232873055
280,2008,KOR,1052.0,WPR,0.0,WPR,49054708.0,Not tested/reported,0.0,0.0,2.1445444135555755e-05
281,2012,NIC,1235.0,AMR,2.0,AMR,5877108.0,Not tested/reported,0.0,0.0,0.00021013736688180648
