tas,"	Year", Month, Country
11.9749,1949,2,KWT
17.852,1949,3,KWT
22.5322,1949,4,KWT
30.3568,1949,5,KWT
34.6067,1949,6,KWT
35.4962,1949,7,KWT
35.2922,1949,8,KWT
31.0604,1949,9,KWT
25.7676,1949,10,KWT
20.0213,1949,11,KWT
14.5779,1949,12,KWT
9.48514,1950,1,KWT
11.1289,1950,2,KWT
18.3117,1950,3,KWT
24.5194,1950,4,KWT
29.4247,1950,5,KWT
33.3214,1950,6,KWT
35.591,1950,7,KWT
35.1187,1950,8,KWT
32.6459,1950,9,KWT
26.81,1950,10,KWT
20.8465,1950,11,KWT
14.8012,1950,12,KWT
13.3483,1951,1,KWT
15.017,1951,2,KWT
19.4377,1951,3,KWT
24.649,1951,4,KWT
31.2397,1951,5,KWT
35.0523,1951,6,KWT
36.9224,1951,7,KWT
36.2783,1951,8,KWT
34.2267,1951,9,KWT
27.3759,1951,10,KWT
19.8966,1951,11,KWT
13.3148,1951,12,KWT
12.4929,1952,1,KWT
15.7683,1952,2,KWT
19.1517,1952,3,KWT
25.5604,1952,4,KWT
31.0897,1952,5,KWT
34.3855,1952,6,KWT
35.9284,1952,7,KWT
36.9362,1952,8,KWT
33.8837,1952,9,KWT
27.2919,1952,10,KWT
19.0667,1952,11,KWT
15.8445,1952,12,KWT
14.421,1953,1,KWT
15.2011,1953,2,KWT
17.0707,1953,3,KWT
24.4972,1953,4,KWT
30.285,1953,5,KWT
34.5747,1953,6,KWT
35.6648,1953,7,KWT
35.5958,1953,8,KWT
31.7718,1953,9,KWT
28.0044,1953,10,KWT
19.0419,1953,11,KWT
11.3443,1953,12,KWT
13.0731,1954,1,KWT
15.4996,1954,2,KWT
19.0291,1954,3,KWT
24.0714,1954,4,KWT
30.5204,1954,5,KWT
33.8966,1954,6,KWT
36.052,1954,7,KWT
36.3843,1954,8,KWT
32.8088,1954,9,KWT
27.484,1954,10,KWT
20.5297,1954,11,KWT
14.3581,1954,12,KWT
12.4102,1955,1,KWT
16.2005,1955,2,KWT
20.169,1955,3,KWT
24.8806,1955,4,KWT
30.6283,1955,5,KWT
34.8193,1955,6,KWT
35.694,1955,7,KWT
35.9117,1955,8,KWT
32.8813,1955,9,KWT
26.2189,1955,10,KWT
21.0804,1955,11,KWT
14.2612,1955,12,KWT
13.2936,1956,1,KWT
16.5726,1956,2,KWT
19.0476,1956,3,KWT
23.8056,1956,4,KWT
28.9746,1956,5,KWT
33.8924,1956,6,KWT
35.4284,1956,7,KWT
35.67,1956,8,KWT
32.5983,1956,9,KWT
27.2692,1956,10,KWT
19.4434,1956,11,KWT
13.9027,1956,12,KWT
11.8186,1957,1,KWT
14.616,1957,2,KWT
19.6635,1957,3,KWT
22.2586,1957,4,KWT
28.4501,1957,5,KWT
33.5807,1957,6,KWT
35.7228,1957,7,KWT
35.7971,1957,8,KWT
33.5937,1957,9,KWT
28.7267,1957,10,KWT
20.5029,1957,11,KWT
14.6216,1957,12,KWT
12.9855,1958,1,KWT
13.5384,1958,2,KWT
21.0579,1958,3,KWT
26.1516,1958,4,KWT
31.1579,1958,5,KWT
33.0762,1958,6,KWT
34.9829,1958,7,KWT
35.4783,1958,8,KWT
31.21,1958,9,KWT
26.688,1958,10,KWT
18.1983,1958,11,KWT
14.5608,1958,12,KWT
12.7298,1959,1,KWT
10.8737,1959,2,KWT
18.1419,1959,3,KWT
26.0622,1959,4,KWT
29.8946,1959,5,KWT
33.942,1959,6,KWT
34.1898,1959,7,KWT
33.6984,1959,8,KWT
30.8888,1959,9,KWT
27.2866,1959,10,KWT
18.8021,1959,11,KWT
12.9362,1959,12,KWT
14.6507,1960,1,KWT
17.5682,1960,2,KWT
18.4283,1960,3,KWT
24.5876,1960,4,KWT
30.7323,1960,5,KWT
34.0262,1960,6,KWT
35.3961,1960,7,KWT
34.9088,1960,8,KWT
32.4674,1960,9,KWT
25.1138,1960,10,KWT
20.7656,1960,11,KWT
14.7934,1960,12,KWT
12.8935,1961,1,KWT
14.6427,1961,2,KWT
17.9941,1961,3,KWT
22.9248,1961,4,KWT
30.3304,1961,5,KWT
34.1283,1961,6,KWT
35.0746,1961,7,KWT
35.9677,1961,8,KWT
30.1351,1961,9,KWT
26.0268,1961,10,KWT
19.0295,1961,11,KWT
14.9007,1961,12,KWT
13.8678,1962,1,KWT
15.9618,1962,2,KWT
21.1426,1962,3,KWT
24.2371,1962,4,KWT
31.2084,1962,5,KWT
34.6959,1962,6,KWT
36.5269,1962,7,KWT
35.9142,1962,8,KWT
32.2288,1962,9,KWT
28.1332,1962,10,KWT
20.4382,1962,11,KWT
16.4602,1962,12,KWT
15.357,1963,1,KWT
18.1357,1963,2,KWT
18.3668,1963,3,KWT
